%eval_id,interface,wFloor,wRoof,k,1-PFA-0-1,1-PFA-1-1,1-PFD-1-1,1-PID-1-1,1-PFA-2-1,1-PFD-2-1,1-PID-2-1,1-PFA-3-1,1-PFD-3-1,1-PID-3-1,1-PRD-1-1
1,NO_ID,110.7306177,50.71669874,306.7355017,205.349,398.55,1.29971,0.00902578,663.999,2.23669,0.00651353,751.048,2.55729,0.00224161,0.00591965
2,NO_ID,108.4650552,51.79889443,321.3380876,205.144,428.291,1.32017,0.00916787,713.766,2.27553,0.00664036,812.112,2.61171,0.00235272,0.00604563
3,NO_ID,102.1172829,54.13493983,347.4797183,204.497,502.913,1.38908,0.00964638,832.597,2.3996,0.00701878,944.865,2.77983,0.00264364,0.0064348
4,NO_ID,103.9925509,54.49922132,288.2358741,205.07,367.844,1.25029,0.00868259,614.539,2.16331,0.00634458,702.41,2.50642,0.00239385,0.0058019
5,NO_ID,99.06884121,55.52122942,303.3084618,205.157,403.205,1.27568,0.00885887,682.923,2.21909,0.00655629,785.812,2.59034,0.00259688,0.00599615
6,NO_ID,82.09306726,50.45910071,331.0563981,204.998,562.184,1.28168,0.00890053,851.042,2.20488,0.00641225,969.865,2.5867,0.00265246,0.00598772
7,NO_ID,99.52230991,45.65224562,314.5830034,204.888,489.974,1.40211,0.00973687,813.001,2.40897,0.00699494,917.952,2.75316,0.00239493,0.00637306
8,NO_ID,92.68440132,57.25474399,330.0819726,205.006,481.487,1.3473,0.00935628,807.294,2.34888,0.00695715,933.194,2.76713,0.00290849,0.00640539
9,NO_ID,92.20881805,60.55229097,327.9183991,204.965,453.219,1.31067,0.00910189,768.933,2.29778,0.00685736,903.388,2.72876,0.00299931,0.00631657
10,NO_ID,105.8535126,55.90284796,350.3654642,204.655,479.639,1.37209,0.00952839,802.538,2.37478,0.00696545,917.665,2.75312,0.00263237,0.00637296
11,NO_ID,101.0301598,53.34382848,337.4293751,205.23,488.234,1.37961,0.00958063,813.671,2.38593,0.00699048,927.63,2.7648,0.0026358,0.00639999
12,NO_ID,97.92169934,37.88327722,367.6388021,204.693,576.684,1.2812,0.00889725,900.795,2.16542,0.00614067,1000.95,2.43156,0.00184831,0.00562861
13,NO_ID,90.08423698,52.98625347,341.755269,204.705,545.26,1.33834,0.009294,862.814,2.3157,0.00678753,980.991,2.70665,0.00271592,0.00626539
14,NO_ID,101.589785,55.1927413,313.3302541,204.295,417.139,1.29197,0.00897202,702.694,2.24254,0.00660573,806.63,2.60836,0.0025585,0.00603787
15,NO_ID,103.2399262,43.29428041,310.7489309,204.835,478.084,1.39582,0.00969321,789.559,2.3926,0.00692555,890.982,2.7133,0.00223242,0.00628078
16,NO_ID,75.683298,47.86521787,312.1710241,204.69,561.579,1.27045,0.00882257,851.43,2.19039,0.00638849,979.854,2.57839,0.00269547,0.0059685
17,NO_ID,107.9041494,49.56832288,327.2044099,204.737,456.837,1.35194,0.00938847,755.46,2.33226,0.00681132,864.903,2.67085,0.00235641,0.00618253
18,NO_ID,114.4655459,48.77277152,318.7054025,204.537,417.971,1.32718,0.0092165,693.362,2.27605,0.00659649,780.431,2.58441,0.00215614,0.00598243
19,NO_ID,102.7063616,59.16972943,353.3599748,205.131,479.949,1.35838,0.00943319,804.436,2.36068,0.00696225,925.446,2.76111,0.00278533,0.00639145
20,NO_ID,100.7171612,48.26344565,333.7229286,205.062,516.29,1.41379,0.00981796,847.149,2.42795,0.00704379,951.424,2.78332,0.00247014,0.00644288
21,NO_ID,94.28116893,41.7870182,308.6295063,205.119,530.78,1.43198,0.00994431,862.855,2.44723,0.00705097,961.068,2.7832,0.00233413,0.00644258
22,NO_ID,88.00105515,58.19134555,336.5394194,205.026,508.394,1.34059,0.00930967,840.62,2.33875,0.00693168,968.191,2.77061,0.00299992,0.00641345
23,NO_ID,86.27300736,46.87438006,334.4200818,205.13,571.846,1.30611,0.00907024,861.723,2.2325,0.00643405,976.298,2.58598,0.00245546,0.00598606
24,NO_ID,105.0626927,45.95153339,296.4697341,204.852,419.902,1.32547,0.00920462,697.647,2.27598,0.00660716,786.341,2.59062,0.00220041,0.0059968
25,NO_ID,98.19040452,46.66796607,316.1470246,204.394,494.499,1.40099,0.00972909,819.486,2.40985,0.00700866,926.036,2.76311,0.00245699,0.00639608
26,NO_ID,93.98591691,53.83968492,319.3535935,204.494,470.552,1.35097,0.00938173,792.036,2.34906,0.00693379,913.907,2.74718,0.00277016,0.00635922
27,NO_ID,88.62415301,46.42554963,344.1879038,204.499,575.067,1.30499,0.00906244,872.882,2.22828,0.00641222,988.096,2.57253,0.00239114,0.00595493
28,NO_ID,95.71576453,50.18764697,275.5220196,205.081,387.18,1.27019,0.00882076,650.79,2.20097,0.00646954,744.391,2.55106,0.00244748,0.00590523
29,NO_ID,89.46643041,47.97912493,297.5530223,204.945,477.925,1.36818,0.00950127,800.595,2.37003,0.00696001,916.965,2.75214,0.00265827,0.00637069
30,NO_ID,93.38254502,54.59286189,352.0456582,205.008,542.901,1.34505,0.0093406,863.559,2.32684,0.00681814,980.955,2.71804,0.00271732,0.00629176
31,NO_ID,90.8535462,49.4146545,375.2337287,204.966,560.164,1.23974,0.00860931,878.99,2.12893,0.00617497,1004.11,2.47024,0.00237046,0.00571814
32,NO_ID,111.5602764,51.75495001,317.0732663,204.708,409.778,1.30869,0.00908816,684.343,2.25421,0.006572,774.804,2.58068,0.0022834,0.00597379
33,NO_ID,105.3154186,45.11020818,331.5014169,204.955,510.059,1.42831,0.00991883,836.708,2.44216,0.00704299,935.417,2.77108,0.0022871,0.00641453
34,NO_ID,106.7734496,47.18923964,300.7045247,204.541,416.134,1.32082,0.00917237,692.252,2.26935,0.00659334,780.993,2.58568,0.00221265,0.00598538
35,NO_ID,100.3365159,47.5986511,357.5121961,204.565,565.858,1.36448,0.00947553,876.049,2.33304,0.00672741,980.025,2.6679,0.00232718,0.00617569
36,NO_ID,115.9636262,48.56224135,345.0731892,204.878,469.596,1.38178,0.00959572,774.179,2.37097,0.0068731,876.488,2.68971,0.0022184,0.00622617
37,NO_ID,121.9148193,40.52087965,340.0970148,204.804,478.897,1.41376,0.00981776,780.026,2.40212,0.00686847,868.096,2.66946,0.00185922,0.00617931
38,NO_ID,109.7050779,51.16121386,325.5336967,204.315,436.274,1.32957,0.00923314,723.759,2.28807,0.00666161,826.253,2.61939,0.00233435,0.0060634
39,NO_ID,104.1886878,51.35605524,290.2025905,204.617,384.954,1.27627,0.00886301,642.593,2.20339,0.00644388,730.887,2.53736,0.00233387,0.00587351
40,NO_ID,83.03932961,43.83692504,360.3349494,204.94,553.65,1.15631,0.00802994,866.445,1.9833,0.00574306,995.064,2.29486,0.00216414,0.00531217
41,NO_ID,112.183544,50.8091599,338.6587831,204.989,457.697,1.35454,0.0094065,756.254,2.33513,0.00681312,864.69,2.67031,0.00233317,0.00618128
42,NO_ID,95.98206418,44.74661687,302.4359039,204.469,482.024,1.39096,0.00965946,801.472,2.39355,0.00696549,908.511,2.74085,0.00241703,0.00634457
43,NO_ID,98.62136222,42.69988601,386.0362653,205.324,564.85,1.2429,0.00863122,889.669,2.1127,0.00604104,996.841,2.39716,0.00197544,0.00554898
44,NO_ID,119.8194871,52.44397185,323.2869382,204.622,394.523,1.30141,0.00903757,654.067,2.23373,0.00648134,736.784,2.54238,0.00215707,0.00588515
45,NO_ID,95.02593531,56.60979605,324.4112234,204.977,459.542,1.33188,0.00924913,775.346,2.32289,0.00688458,901.718,2.72943,0.00282953,0.00631812
46,NO_ID,113.574185,52.21869851,321.1300535,205.147,408.955,1.30916,0.0090914,682.513,2.25386,0.00656717,772.283,2.57806,0.00226721,0.00596774
47,NO_ID,107.2141747,52.63606654,363.5035206,205.192,525.256,1.41098,0.00979846,858.594,2.42361,0.00703268,963.276,2.78361,0.00250147,0.00644353
48,NO_ID,97.32773633,49.00610988,282.6966815,204.831,401.833,1.29015,0.00895939,675.212,2.23166,0.00654414,769.611,2.57602,0.00240859,0.005963
49,NO_ID,85.01982671,49.82351849,291.9035125,204.897,470.613,1.34737,0.00935676,792.445,2.34534,0.00693282,915.91,2.74931,0.00281059,0.00636414
50,NO_ID,96.76125862,44.53452225,306.1483665,204.98,489.672,1.40135,0.00973162,812.667,2.40812,0.00699398,917.881,2.75311,0.00240047,0.00637293
